CustomerID,Gender,Age,Annual Income (Lakhs),Spending Score (1-100)
1,Female,18,17.6,81
2,Male,32,18.1,28
3,Female,33,17.4,41
4,Female,44,21.1,68
5,Female,38,22.6,80
6,Female,34,11.1,30
7,Male,46,22.4,14
8,Female,27,20.1,39
9,Male,40,22.7,37
10,Male,33,21.1,40
11,Male,24,20.9,77
12,Female,42,15.2,43
13,Male,34,15.5,42
14,Female,40,16.5,39
15,Male,44,16.4,12
16,Male,18,21.7,51
17,Male,27,19.1,1
18,Female,36,15.5,47
19,Male,18,19.7,34
20,Male,20,15.5,100
21,Male,39,19.2,1
22,Female,18,15.5,49
23,Male,36,15.7,20
24,Female,18,14.2,24
25,Female,44,21.3,52
26,Male,30,21.2,29
27,Female,30,17.1,73
28,Male,26,24.3,58
29,Female,27,18.8,44
30,Male,27,16.7,70
31,Male,34,18.2,55
32,Male,39,14.5,45
33,Male,39,21.6,41
34,Female,42,15.6,26
35,Female,22,21.5,39
36,Male,36,19.7,55
37,Male,28,17.6,61
38,Female,30,26.8,36
39,Male,22,18.4,23
40,Male,27,13.5,40
41,Male,37,20.1,43
42,Male,24,20.3,30
43,Female,33,19.8,30
44,Female,50,17.2,57
45,Female,21,24.5,35
46,Female,48,15.7,13
47,Male,29,17.6,37
48,Male,25,17.0,72
49,Female,37,23.3,59
50,Male,27,15.8,17
51,Female,31,20.7,29
52,Female,44,16.7,62
53,Male,22,16.2,32
54,Male,26,19.2,26
55,Male,49,18.1,42
56,Female,40,20.8,56
57,Male,24,24.5,46
58,Male,18,14.9,38
59,Male,31,11.8,58
60,Male,37,16.5,72
61,Male,28,13.9,64
62,Male,28,15.2,13
63,Female,18,18.6,50
64,Male,38,13.6,46
65,Male,43,14.7,53
66,Female,27,16.5,37
67,Male,23,17.3,33
68,Female,23,19.3,28
69,Male,25,20.4,24
70,Male,20,19.9,63
71,Female,45,20.7,51
72,Female,24,17.6,15
73,Female,37,20.0,64
74,Male,41,19.5,52
75,Male,28,18.5,8
76,Female,24,22.2,41
77,Male,27,20.9,39
78,Male,30,12.0,45
79,Female,32,20.9,50
80,Male,37,15.4,59
81,Female,18,13.5,1
82,Male,26,14.9,29
83,Female,35,20.9,38
84,Female,48,18.8,60
85,Male,27,22.1,34
86,Male,18,19.6,40
87,Male,38,21.3,6
88,Male,22,16.0,80
89,Male,36,14.2,31
90,Male,26,19.0,45
91,Female,34,14.3,12
92,Male,18,15.6,76
93,Male,24,14.6,44
94,Female,32,17.5,64
95,Male,19,11.3,50
96,Female,27,16.0,49
97,Male,29,21.2,29
98,Female,29,15.8,84
99,Female,18,18.3,69
100,Female,24,18.3,44
101,Male,32,16.3,44
102,Female,35,18.9,77
103,Male,32,19.2,74
104,Female,18,16.8,52
105,Male,44,15.2,62
106,Female,22,21.1,45
107,Male,23,12.2,36
108,Female,22,22.5,36
109,Male,18,19.7,1
110,Female,27,19.7,43
111,Female,28,15.2,30
112,Male,41,17.3,43
113,Female,31,15.5,44
114,Male,18,24.5,44
115,Male,21,13.5,44
116,Male,31,22.5,38
117,Male,29,18.0,71
118,Male,23,19.4,37
119,Female,53,18.4,63
120,Female,34,19.8,32
121,Male,48,15.4,63
122,Male,29,17.1,40
123,Male,21,18.2,49
124,Female,41,19.7,51
125,Male,42,16.0,44
126,Male,35,15.9,15
127,Female,21,18.4,64
128,Female,30,18.7,42
129,Male,24,17.4,32
130,Male,39,20.8,37
131,Female,24,17.6,28
132,Male,51,17.4,54
133,Female,18,15.7,49
134,Male,38,17.9,63
135,Female,26,22.8,24
136,Female,29,15.7,62
137,Female,29,20.0,35
138,Male,18,18.3,44
139,Male,43,18.1,49
140,Male,42,17.6,56
141,Male,32,23.5,9
142,Male,23,16.7,63
143,Male,28,19.4,50
144,Female,23,23.3,49
145,Male,41,18.2,68
146,Female,43,16.7,68
147,Female,35,19.2,72
148,Male,39,13.6,61
149,Male,23,14.1,44
150,Male,24,17.4,84
151,Female,41,19.2,49
152,Male,19,15.3,25
153,Male,36,19.1,14
154,Male,29,13.5,32
155,Male,28,20.5,64
156,Male,35,16.2,84
157,Female,18,15.3,44
158,Female,39,18.6,33
159,Female,38,18.0,54
160,Male,36,25.4,54
161,Female,50,14.0,46
162,Female,30,14.0,41
163,Male,25,14.6,72
164,Female,38,17.5,54
165,Male,30,21.0,3
166,Female,32,13.8,32
167,Female,27,18.1,6
168,Female,26,15.0,55
169,Female,18,16.3,69
170,Male,18,17.7,53
171,Female,21,19.8,52
172,Male,34,26.1,25
173,Female,27,14.7,70
174,Female,30,18.2,56
175,Male,27,21.9,25
176,Male,40,18.8,36
177,Male,23,19.0,32
178,Male,20,14.3,50
179,Female,43,17.6,25
180,Male,18,22.3,44
181,Male,40,18.6,71
182,Female,38,18.2,25
183,Male,40,24.4,29
184,Female,35,15.2,21
185,Male,40,18.0,20
186,Male,40,18.5,20
187,Female,35,19.3,87
188,Male,39,21.3,3
189,Female,37,17.2,66
190,Female,35,19.0,29
191,Male,18,14.3,33
192,Female,32,18.3,39
193,Female,28,15.9,23
194,Male,37,20.9,63
195,Male,34,18.1,78
196,Female,39,19.6,48
197,Male,50,17.9,35
198,Female,20,20.1,84
199,Male,35,19.9,52
200,Female,23,20.4,62
