CustomerID,Gender,Age,Annual Income (Lakhs),Spending Score (1-100)
1,Male,24,21.8,58
2,Male,28,14.4,72
3,Male,32,25.4,30
4,Female,21,20.3,66
5,Female,40,22.5,83
6,Male,23,20.1,64
7,Female,30,25.3,58
8,Female,44,22.3,77
9,Male,24,17.1,60
10,Male,30,15.9,51
11,Male,18,17.9,74
12,Female,32,25.3,58
13,Male,23,26.3,46
14,Male,36,20.6,27
15,Female,28,20.2,69
16,Female,36,17.7,67
17,Female,31,22.1,28
18,Female,18,18.7,31
19,Male,53,21.9,47
20,Male,47,21.7,72
21,Male,47,15.7,38
22,Male,44,17.7,30
23,Female,29,19.2,76
24,Male,32,23.1,49
25,Female,55,13.2,79
26,Female,28,21.0,63
27,Female,28,14.6,44
28,Male,25,17.7,58
29,Male,21,23.7,67
30,Male,35,20.2,68
31,Male,45,22.3,70
32,Female,40,25.3,64
33,Male,18,24.8,39
34,Female,32,17.4,63
35,Female,21,22.4,83
36,Female,32,22.3,88
37,Male,30,16.7,78
38,Male,21,22.6,54
39,Male,18,17.5,77
40,Female,23,20.5,45
41,Female,25,14.7,49
42,Female,55,18.2,32
43,Male,18,19.5,64
44,Female,30,16.0,74
45,Male,46,16.9,91
46,Male,24,22.9,35
47,Male,43,17.4,24
48,Female,30,20.8,79
49,Male,32,21.3,25
50,Female,18,21.3,39
51,Female,19,19.1,52
52,Female,25,15.8,46
53,Female,22,21.2,60
54,Female,37,20.5,37
55,Female,21,17.3,30
56,Female,34,21.6,38
57,Male,23,21.2,54
58,Male,29,17.4,71
59,Male,27,17.7,77
60,Female,36,20.9,60
61,Male,35,15.8,20
62,Male,45,19.8,85
63,Female,31,20.1,43
64,Female,36,21.0,75
65,Male,30,27.5,67
66,Female,37,18.9,53
67,Male,18,23.5,67
68,Male,18,14.2,70
69,Female,38,16.6,67
70,Female,22,22.7,49
71,Female,27,22.3,72
72,Female,32,21.7,38
73,Female,38,19.3,82
74,Female,34,24.4,50
75,Male,28,19.1,14
76,Male,39,17.5,36
77,Male,36,21.3,58
78,Female,46,24.7,63
79,Female,46,22.2,34
80,Female,40,20.3,50
81,Female,25,21.0,37
82,Male,25,23.8,58
83,Male,40,20.9,60
84,Female,33,20.7,60
85,Female,47,15.2,59
86,Female,18,16.6,73
87,Male,29,18.2,58
88,Female,18,23.4,36
89,Male,30,18.3,55
90,Male,18,15.6,45
91,Male,36,21.1,33
92,Male,43,14.8,30
93,Female,33,18.6,35
94,Male,20,25.4,54
95,Male,35,22.5,48
96,Female,49,19.9,50
97,Female,32,21.2,43
98,Female,55,25.0,74
99,Male,30,17.7,69
100,Female,37,20.8,25
101,Male,26,20.0,74
102,Female,18,21.6,64
103,Female,23,19.8,76
104,Female,45,18.4,70
105,Female,44,21.1,100
106,Female,39,25.5,39
107,Male,29,15.0,64
108,Female,22,20.0,70
109,Male,18,18.8,86
110,Male,28,22.9,91
111,Male,22,14.3,53
112,Male,40,16.0,56
113,Male,26,21.4,26
114,Female,40,21.2,39
115,Female,55,18.6,97
116,Male,18,16.7,58
117,Male,32,26.1,44
118,Male,29,25.4,66
119,Male,33,26.8,78
120,Male,37,20.1,73
121,Female,45,17.6,51
122,Male,27,26.5,41
123,Female,28,22.9,41
124,Male,34,19.2,18
125,Female,41,23.5,40
126,Female,30,21.2,52
127,Female,43,21.9,28
128,Female,34,24.2,55
129,Male,42,20.9,59
130,Male,24,24.2,32
131,Male,36,23.1,56
132,Female,26,15.6,85
133,Male,18,18.7,100
134,Male,23,15.7,13
135,Male,18,20.6,67
136,Female,32,19.4,22
137,Male,22,22.9,40
138,Male,33,25.5,42
139,Female,61,18.4,53
140,Male,29,13.7,74
141,Male,30,20.8,42
142,Male,48,22.0,63
143,Female,32,23.5,54
144,Female,37,24.3,83
145,Female,34,19.2,90
146,Male,21,23.1,60
147,Female,25,20.7,41
148,Female,18,23.2,70
149,Male,33,21.9,52
150,Male,41,19.4,49
151,Female,18,21.3,53
152,Female,20,21.2,63
153,Male,61,15.7,69
154,Male,43,19.8,37
155,Male,35,21.3,74
156,Male,39,21.8,37
157,Male,30,14.0,39
158,Male,37,22.2,44
159,Female,29,24.6,68
160,Male,18,16.4,48
161,Male,28,25.6,84
162,Male,35,18.2,79
163,Male,29,17.0,32
164,Female,47,20.2,75
165,Male,29,19.5,79
166,Male,24,23.4,93
167,Female,41,19.9,57
168,Male,38,23.8,39
169,Male,36,22.1,19
170,Female,28,19.4,54
171,Male,35,21.3,68
172,Male,23,20.8,41
173,Female,31,19.5,71
174,Female,33,19.7,68
175,Male,18,23.2,61
176,Female,22,21.7,61
177,Male,43,21.3,19
178,Female,35,23.1,56
179,Male,34,18.5,61
180,Female,31,25.5,76
181,Male,18,19.3,25
182,Female,29,21.5,51
183,Female,28,21.0,23
184,Male,18,20.9,85
185,Male,36,20.1,53
186,Male,43,18.8,46
187,Male,34,17.0,52
188,Male,20,16.1,71
189,Female,37,19.3,41
190,Male,18,18.6,27
191,Male,25,19.1,39
192,Male,42,22.4,78
193,Female,34,17.4,85
194,Female,28,19.7,67
195,Male,44,16.5,46
196,Female,20,16.2,58
197,Female,32,16.4,69
198,Female,31,20.5,33
199,Female,31,21.1,74
200,Male,44,19.9,39
