CustomerID,Gender,Age,Annual Income (Lakhs),Spending Score (1-100)
1,Female,53,22.7,72
2,Female,35,24.0,41
3,Male,20,19.2,70
4,Male,33,18.5,33
5,Male,50,18.8,49
6,Female,18,25.5,34
7,Male,49,17.3,4
8,Female,32,19.8,72
9,Female,36,20.9,66
10,Female,28,26.1,47
11,Female,47,21.6,73
12,Male,35,22.4,24
13,Male,43,20.8,71
14,Female,31,23.4,58
15,Female,44,19.8,64
16,Male,51,18.7,35
17,Female,18,18.9,34
18,Female,27,23.1,66
19,Female,36,20.8,19
20,Male,27,24.4,68
21,Female,38,28.2,49
22,Female,28,22.3,26
23,Female,44,24.4,79
24,Female,41,29.2,60
25,Male,42,22.6,40
26,Male,27,20.3,55
27,Female,27,25.5,55
28,Female,39,23.3,28
29,Male,25,22.9,24
30,Male,29,19.7,31
31,Male,35,15.5,53
32,Female,36,21.5,57
33,Female,30,20.7,34
34,Female,42,27.2,45
35,Male,37,27.8,46
36,Female,41,29.2,39
37,Male,18,24.9,76
38,Female,24,24.4,67
39,Male,32,22.8,79
40,Male,33,19.4,55
41,Male,42,18.1,33
42,Male,25,27.4,47
43,Female,21,18.9,39
44,Male,30,25.1,41
45,Male,40,21.7,87
46,Male,22,18.4,61
47,Male,41,20.7,87
48,Female,42,25.5,65
49,Female,36,20.3,60
50,Female,18,21.6,83
51,Female,52,23.7,71
52,Female,49,22.8,50
53,Male,44,28.0,47
54,Female,38,18.2,30
55,Female,42,21.6,25
56,Male,41,20.2,72
57,Male,42,18.8,53
58,Male,33,26.1,57
59,Male,43,21.3,54
60,Male,41,19.5,63
61,Male,38,21.7,42
62,Female,34,23.6,33
63,Male,35,20.5,38
64,Female,42,23.8,48
65,Female,33,20.4,43
66,Female,18,18.2,13
67,Female,24,22.2,35
68,Male,41,16.9,37
69,Male,33,24.6,23
70,Female,35,22.0,83
71,Female,28,20.7,38
72,Female,52,22.1,55
73,Male,29,18.4,65
74,Female,28,23.7,50
75,Male,18,20.7,64
76,Female,36,24.1,70
77,Male,24,19.0,54
78,Male,41,18.9,48
79,Male,45,23.2,51
80,Male,36,20.0,62
81,Male,26,27.8,27
82,Male,27,25.5,24
83,Male,29,25.9,39
84,Female,37,26.6,49
85,Male,27,18.8,79
86,Female,25,21.2,83
87,Male,40,21.3,62
88,Male,26,24.5,54
89,Female,56,25.6,51
90,Female,37,18.8,86
91,Male,30,20.0,20
92,Female,34,24.8,68
93,Male,46,20.8,70
94,Female,32,19.3,43
95,Male,28,21.8,33
96,Female,42,23.1,43
97,Female,18,16.3,33
98,Female,43,22.3,40
99,Female,42,21.6,80
100,Female,36,22.9,79
101,Female,33,25.5,69
102,Male,49,20.4,52
103,Male,28,19.5,43
104,Female,24,19.3,38
105,Female,36,19.7,83
106,Female,23,23.1,59
107,Male,31,17.6,34
108,Female,30,23.6,65
109,Male,36,21.3,46
110,Male,45,23.8,66
111,Female,25,18.8,57
112,Male,46,19.5,70
113,Male,22,25.3,32
114,Female,34,27.2,56
115,Female,37,23.8,37
116,Male,47,22.2,48
117,Female,30,19.9,40
118,Male,34,27.6,40
119,Male,32,18.1,27
120,Male,42,21.2,5
121,Female,49,20.6,27
122,Female,30,22.7,3
123,Female,28,15.1,27
124,Female,43,22.6,9
125,Male,48,21.4,50
126,Male,50,18.8,50
127,Male,29,24.5,59
128,Female,38,22.5,55
129,Male,32,21.6,55
130,Female,37,21.8,59
131,Male,33,23.4,36
132,Female,50,19.3,41
133,Male,18,23.7,5
134,Female,48,26.0,22
135,Male,18,24.3,29
136,Female,23,23.6,57
137,Male,57,18.9,54
138,Male,44,26.3,47
139,Male,35,22.1,37
140,Female,45,12.2,41
141,Female,18,20.1,49
142,Female,18,21.2,57
143,Female,21,19.4,13
144,Female,46,18.6,40
145,Male,39,19.3,57
146,Female,33,20.1,52
147,Female,34,24.7,42
148,Male,33,21.9,42
149,Male,35,23.5,28
150,Female,33,26.1,28
151,Male,22,20.6,31
152,Male,41,22.9,48
153,Male,29,25.2,68
154,Female,31,30.0,41
155,Male,34,19.5,17
156,Female,43,24.8,66
157,Female,32,20.8,50
158,Female,42,20.4,50
159,Male,32,24.1,54
160,Female,34,24.3,45
161,Female,31,22.2,59
162,Female,36,20.2,44
163,Male,27,24.2,51
164,Female,23,24.1,51
165,Female,32,20.7,66
166,Female,43,23.2,75
167,Male,27,25.8,10
168,Male,18,21.1,50
169,Female,31,19.0,99
170,Male,28,27.7,27
171,Female,39,22.5,31
172,Male,35,16.8,64
173,Female,30,24.1,46
174,Male,33,22.5,38
175,Female,26,27.5,69
176,Female,30,23.2,71
177,Female,45,20.4,72
178,Female,33,23.6,48
179,Female,39,22.7,78
180,Male,40,26.0,49
181,Female,37,25.3,56
182,Male,34,17.6,47
183,Female,47,20.0,51
184,Male,21,22.4,40
185,Male,47,27.3,65
186,Female,37,18.4,63
187,Female,33,21.2,23
188,Male,41,18.6,33
189,Female,35,21.0,52
190,Male,54,24.4,28
191,Male,61,26.0,36
192,Male,35,22.1,87
193,Female,44,24.2,37
194,Male,26,19.2,47
195,Female,22,23.0,62
196,Male,39,21.6,50
197,Male,55,21.4,16
198,Male,46,23.4,59
199,Female,28,23.2,50
200,Male,24,19.7,68
