CustomerID,Gender,Age,Annual Income (Lakhs),Spending Score (1-100)
1,Male,18,16.3,81
2,Female,33,12.6,100
3,Male,20,20.0,45
4,Male,18,18.0,67
5,Female,22,10.0,84
6,Female,43,15.1,62
7,Female,22,10.7,33
8,Female,18,16.8,98
9,Female,18,11.0,39
10,Male,23,10.0,16
11,Female,19,20.9,68
12,Female,26,16.7,76
13,Female,18,11.0,76
14,Male,41,10.0,81
15,Female,21,14.2,26
16,Female,18,12.6,79
17,Female,18,10.4,34
18,Male,32,13.1,100
19,Male,41,19.2,72
20,Male,20,10.0,22
21,Male,34,18.9,69
22,Female,20,10.0,49
23,Male,18,17.8,84
24,Male,28,15.6,44
25,Female,18,17.5,59
26,Male,18,11.8,53
27,Male,32,15.0,63
28,Female,31,13.2,47
29,Male,18,10.5,52
30,Male,18,19.6,56
31,Male,37,15.1,100
32,Female,30,16.3,66
33,Female,26,10.1,74
34,Male,20,14.3,91
35,Male,32,13.8,53
36,Female,41,15.9,78
37,Male,19,14.1,61
38,Male,21,17.6,32
39,Female,18,16.9,95
40,Female,18,14.8,87
41,Female,29,15.6,67
42,Male,31,13.9,52
43,Female,33,10.8,81
44,Female,30,22.1,98
45,Female,22,14.2,59
46,Male,18,19.3,53
47,Male,44,16.4,70
48,Male,27,20.2,100
49,Female,31,10.7,59
50,Male,18,14.6,62
51,Male,41,15.6,41
52,Male,35,14.5,88
53,Male,23,11.6,70
54,Male,41,20.5,34
55,Female,22,16.8,28
56,Male,45,18.2,53
57,Male,35,13.9,47
58,Male,26,14.8,55
59,Male,31,20.1,68
60,Female,18,13.8,53
61,Female,37,13.4,51
62,Male,56,13.2,46
63,Female,28,10.7,91
64,Female,23,18.3,54
65,Male,36,16.3,49
66,Male,22,19.4,45
67,Female,18,14.8,93
68,Male,30,21.4,99
69,Male,32,13.1,29
70,Male,48,18.3,100
71,Male,24,18.4,79
72,Male,18,11.3,91
73,Male,30,17.9,78
74,Male,18,15.0,58
75,Female,18,14.5,51
76,Male,18,12.0,42
77,Male,25,17.2,54
78,Male,18,13.8,95
79,Male,19,17.5,96
80,Male,18,11.4,35
81,Female,26,14.1,77
82,Male,37,10.0,100
83,Female,21,18.5,44
84,Male,35,20.4,56
85,Male,33,17.3,76
86,Female,57,15.7,45
87,Male,28,18.0,78
88,Female,18,14.9,49
89,Female,35,11.3,82
90,Female,37,17.3,74
91,Male,19,13.6,58
92,Female,18,10.0,53
93,Male,18,12.7,49
94,Male,19,12.8,67
95,Male,20,18.7,100
96,Male,29,15.9,79
97,Female,36,16.5,45
98,Male,21,13.1,44
99,Male,27,13.5,68
100,Male,29,15.8,44
101,Male,21,23.9,62
102,Male,18,10.0,36
103,Male,25,10.0,54
104,Female,22,14.0,77
105,Female,19,17.5,72
106,Female,27,15.1,100
107,Female,23,21.2,52
108,Male,18,10.0,41
109,Male,23,18.5,48
110,Female,18,12.5,75
111,Male,30,13.5,21
112,Male,28,14.2,53
113,Female,18,14.5,79
114,Female,31,11.5,77
115,Male,18,16.4,61
116,Female,18,12.3,50
117,Female,29,14.1,91
118,Male,22,16.6,42
119,Female,32,14.4,77
120,Female,49,12.1,65
121,Male,28,16.0,63
122,Male,18,12.7,97
123,Female,19,18.5,74
124,Male,30,12.5,80
125,Male,35,10.0,81
126,Female,18,16.5,42
127,Male,22,13.7,85
128,Female,23,15.7,42
129,Female,18,17.6,47
130,Male,34,11.6,51
131,Male,28,22.4,52
132,Female,20,12.8,75
133,Female,31,16.5,53
134,Female,19,15.1,73
135,Female,18,13.5,67
136,Female,18,15.8,76
137,Female,30,17.1,38
138,Male,32,12.0,74
139,Male,34,19.7,97
140,Female,20,10.0,56
141,Male,18,16.5,100
142,Male,22,10.0,70
143,Male,18,17.4,65
144,Female,43,13.4,61
145,Male,18,14.0,63
146,Male,18,14.3,74
147,Female,18,20.4,70
148,Male,18,18.5,69
149,Male,35,15.2,70
150,Male,45,18.8,72
151,Male,22,16.3,73
152,Male,46,16.8,100
153,Female,38,17.1,65
154,Male,18,16.5,55
155,Female,35,15.3,86
156,Male,18,17.0,88
157,Male,18,15.6,72
158,Female,24,13.5,87
159,Female,30,21.9,47
160,Male,23,14.7,29
161,Female,22,19.4,60
162,Female,21,13.6,72
163,Female,23,15.1,65
164,Male,22,15.1,62
165,Male,24,10.8,64
166,Male,26,14.5,60
167,Male,18,15.7,63
168,Male,18,16.2,73
169,Male,38,12.7,64
170,Male,18,12.4,63
171,Female,31,14.1,31
172,Male,19,21.2,86
173,Female,43,18.9,89
174,Female,33,16.3,66
175,Male,33,14.3,32
176,Male,33,15.6,81
177,Male,29,18.2,75
178,Male,18,12.0,44
179,Female,19,16.8,42
180,Female,19,16.7,55
181,Male,26,16.4,80
182,Female,22,13.4,93
183,Female,37,13.5,100
184,Female,45,17.6,61
185,Male,20,18.0,70
186,Male,31,18.2,41
187,Male,30,17.2,100
188,Male,31,20.0,81
189,Female,18,16.7,86
190,Female,18,14.2,59
191,Female,25,16.2,66
192,Female,29,12.9,77
193,Female,36,20.2,33
194,Male,31,18.4,76
195,Male,24,15.1,70
196,Male,38,13.4,22
197,Female,22,15.1,19
198,Female,36,17.5,70
199,Female,27,14.3,63
200,Female,18,11.0,51
