CustomerID,Gender,Age,Annual Income (Lakhs),Spending Score (1-100)
1,Female,34,12.5,63
2,Male,41,19.4,71
3,Male,31,15.9,29
4,Male,33,17.3,72
5,Female,30,19.3,25
6,Female,26,12.9,69
7,Male,18,19.0,72
8,Male,40,18.9,48
9,Female,24,11.4,58
10,Male,26,21.9,100
11,Female,24,14.4,75
12,Male,19,12.3,51
13,Female,30,18.9,44
14,Male,18,16.6,63
15,Female,30,16.3,77
16,Female,26,16.2,15
17,Male,19,10.7,69
18,Male,21,13.8,45
19,Female,36,14.4,64
20,Female,18,15.8,65
21,Female,21,16.1,44
22,Male,26,14.3,50
23,Female,18,19.9,60
24,Female,38,21.7,2
25,Male,25,15.1,60
26,Female,20,18.6,82
27,Male,18,14.0,44
28,Male,26,18.1,54
29,Female,37,15.7,63
30,Female,30,11.4,63
31,Female,30,22.3,55
32,Female,27,12.8,54
33,Male,24,18.9,34
34,Female,42,17.6,100
35,Female,18,10.9,54
36,Male,18,12.3,67
37,Female,35,11.3,69
38,Male,19,18.1,53
39,Male,24,22.5,47
40,Female,28,15.2,64
41,Female,18,15.5,34
42,Male,26,17.6,69
43,Female,46,13.8,44
44,Male,21,18.9,48
45,Female,33,16.0,84
46,Male,31,23.7,82
47,Male,35,26.6,60
48,Male,30,12.8,88
49,Female,23,11.7,35
50,Male,22,13.5,58
51,Female,37,19.1,79
52,Male,30,14.9,83
53,Male,34,12.4,39
54,Female,47,18.0,83
55,Female,52,14.8,87
56,Male,46,14.2,70
57,Female,39,10.0,79
58,Female,35,17.8,66
59,Female,33,16.3,61
60,Male,22,10.0,69
61,Male,28,18.3,83
62,Female,38,19.1,35
63,Male,18,13.7,73
64,Female,28,18.4,42
65,Male,30,15.7,90
66,Female,18,17.7,71
67,Male,27,16.7,41
68,Female,18,22.1,17
69,Male,23,17.4,15
70,Male,18,18.8,50
71,Male,22,16.1,51
72,Female,25,18.0,69
73,Female,39,13.1,63
74,Female,37,16.0,62
75,Male,18,10.3,39
76,Male,33,12.9,56
77,Male,34,11.8,57
78,Male,19,17.0,80
79,Male,18,15.9,73
80,Female,28,19.6,45
81,Male,20,17.5,72
82,Male,18,22.0,55
83,Male,18,16.4,40
84,Female,36,17.4,95
85,Male,18,17.6,61
86,Male,34,13.1,55
87,Male,18,13.1,92
88,Male,18,11.4,56
89,Female,18,18.2,76
90,Female,44,15.5,35
91,Female,33,17.3,74
92,Male,42,17.2,83
93,Male,18,16.8,39
94,Male,18,14.5,52
95,Male,40,19.2,54
96,Male,18,10.0,56
97,Female,24,15.0,56
98,Male,18,15.8,3
99,Female,23,13.7,53
100,Female,42,16.5,29
101,Female,25,13.9,45
102,Female,18,15.9,30
103,Female,19,14.2,76
104,Male,32,14.9,65
105,Female,31,14.4,54
106,Male,28,14.9,61
107,Male,36,19.0,73
108,Male,20,18.4,56
109,Male,30,12.9,76
110,Female,44,14.3,46
111,Female,37,19.3,55
112,Female,33,12.2,64
113,Male,23,16.2,28
114,Female,31,15.6,54
115,Male,18,17.0,40
116,Female,28,15.6,62
117,Female,22,17.0,57
118,Female,39,12.4,54
119,Male,36,17.3,69
120,Male,18,17.4,56
121,Male,18,13.8,37
122,Female,39,13.7,58
123,Male,31,15.2,69
124,Female,37,13.8,80
125,Female,18,16.8,77
126,Male,24,17.9,59
127,Male,31,16.8,68
128,Female,32,14.3,84
129,Male,26,15.1,43
130,Female,18,18.8,80
131,Female,25,13.8,57
132,Female,22,19.1,83
133,Female,38,13.2,74
134,Female,18,14.4,71
135,Female,28,16.7,62
136,Female,25,13.6,72
137,Female,28,19.2,49
138,Female,20,14.8,74
139,Male,18,20.0,66
140,Female,29,10.7,75
141,Male,18,19.4,43
142,Female,24,10.0,59
143,Male,34,17.7,74
144,Female,28,16.2,72
145,Female,28,13.6,70
146,Male,24,15.2,51
147,Female,28,17.9,22
148,Male,23,18.7,44
149,Female,39,15.6,42
150,Male,28,13.9,30
151,Female,51,22.6,53
152,Female,28,16.6,44
153,Female,39,18.3,95
154,Female,40,13.2,43
155,Female,18,18.8,60
156,Male,18,15.9,56
157,Male,31,10.3,20
158,Male,20,10.0,40
159,Male,18,14.1,31
160,Female,29,15.6,66
161,Female,37,14.4,81
162,Female,52,15.4,51
163,Female,24,17.3,60
164,Male,32,13.8,35
165,Female,20,16.1,69
166,Male,19,17.6,37
167,Male,18,20.4,35
168,Female,43,18.0,55
169,Female,30,11.3,54
170,Female,18,11.6,100
171,Female,28,19.5,57
172,Female,24,14.6,65
173,Male,38,18.6,99
174,Male,22,16.9,44
175,Female,25,10.0,50
176,Male,36,17.7,66
177,Female,24,15.6,74
178,Male,23,20.7,76
179,Female,18,15.2,30
180,Male,21,18.5,60
181,Male,36,17.3,15
182,Male,22,15.6,18
183,Male,38,18.4,49
184,Female,38,17.0,28
185,Female,31,17.5,9
186,Female,28,13.2,82
187,Female,30,16.6,49
188,Male,18,19.8,57
189,Male,18,14.1,73
190,Male,30,13.0,71
191,Male,24,20.7,44
192,Male,37,17.4,63
193,Male,24,15.9,56
194,Male,24,18.7,69
195,Male,23,15.2,46
196,Male,29,18.0,74
197,Male,18,18.1,60
198,Female,20,19.0,56
199,Female,18,11.7,42
200,Female,27,12.5,62
